wavelength,reflectivity
1300.0,73.83
1302.0,73.37
1304.0,73.61
1306.0,74.52
1308.0,74.405
1310.0,73.96
1312.0,73.81
1314.0,73.81
1316.0,73.86
1318.0,74.295
1320.0,74.54
1322.0,74.36
1324.0,74.045
1326.0,74.07
1328.0,73.97
1330.0,73.84
1332.0,73.83
1334.0,73.81
1336.0,73.59
1338.0,73.28
1340.0,73.09
1342.0,72.87
1344.0,72.74
1346.0,72.74
1348.0,72.715
1350.0,72.52
1352.0,72.355
1354.0,72.34
1356.0,72.12
1358.0,71.925
1360.0,71.97
1362.0,71.925
1364.0,71.855
1366.0,71.84
1368.0,71.62
1370.0,71.25
1372.0,70.81
1374.0,70.37
1376.0,69.75
1378.0,69.01
1380.0,68.3
1382.0,67.34
1384.0,66.13
1386.0,64.8
1388.0,63.24
1390.0,61.3
1392.0,59.065
1394.0,56.59
1396.0,53.95
1398.0,51.3
1400.0,48.8
1402.0,46.36
1404.0,44.02
1406.0,41.9
1408.0,40.01
1410.0,38.23
1412.0,36.59
1414.0,35.12
1416.0,33.76
1418.0,32.49
1420.0,31.39
1422.0,30.55
1424.0,29.78
1426.0,29.13
1428.0,28.67
1430.0,28.23
1432.0,27.79
1434.0,27.5
1436.0,27.18
1438.0,26.87
1440.0,26.58
1442.0,26.38
1444.0,26.14
1446.0,25.92
1448.0,25.88
1450.0,25.92
1452.0,25.93
1454.0,26.01
1456.0,26.19
1458.0,26.28
1460.0,26.39
1462.0,26.61
1464.0,26.82
1466.0,27.07
1468.0,27.42
1470.0,27.96
1472.0,28.525
1474.0,29.21
1476.0,29.96
1478.0,30.69
1480.0,31.47
1482.0,32.29
1484.0,33.1
1486.0,33.8
1488.0,34.5
1490.0,35.31
1492.0,36.04
1494.0,36.92
1496.0,37.84
1498.0,38.7
1500.0,39.51
1502.0,40.41
1504.0,41.24
1506.0,42.12
1508.0,42.95
1510.0,43.81
1512.0,44.6
1514.0,45.38
1516.0,46.3
1518.0,47.21
1520.0,48.06
1522.0,48.97
1524.0,49.85
1526.0,50.58
1528.0,51.43
1530.0,52.26
1532.0,52.95
1534.0,53.65
1536.0,54.39
1538.0,55.1
1540.0,55.835
1542.0,56.65
1544.0,57.34
1546.0,57.95
1548.0,58.59
1550.0,59.22
1552.0,59.75
1554.0,60.32
1556.0,60.89
1558.0,61.42
1560.0,61.92
1562.0,62.58
1564.0,63.17
1566.0,63.72
1568.0,64.25
1570.0,64.79
1572.0,65.23
1574.0,65.72
1576.0,66.24
1578.0,66.62
1580.0,66.95
1582.0,67.4
1584.0,67.82
1586.0,68.3
1588.0,68.765
1590.0,69.1
1592.0,69.36
1594.0,69.73
1596.0,70.08
1598.0,70.43
1600.0,70.81
1602.0,71.25
1604.0,71.6
1606.0,72.03
1608.0,72.38
1610.0,72.63
1612.0,72.87
1614.0,73.11
1616.0,73.29
1618.0,73.55
1620.0,73.92
1622.0,74.29
1624.0,74.62
1626.0,74.91
1628.0,75.11
1630.0,75.31
1632.0,75.52
1634.0,75.72
1636.0,75.9
1638.0,75.985
1640.0,76.25
1642.0,76.415
1644.0,76.58
1646.0,76.84
