wavelength,reflectivity
1300.0,66.69
1302.0,66.66
1304.0,66.395
1306.0,66.43
1308.0,66.76
1310.0,66.74
1312.0,66.56
1314.0,66.48
1316.0,66.5
1318.0,66.48
1320.0,66.45
1322.0,66.46
1324.0,66.33
1326.0,66.41
1328.0,66.36
1330.0,66.27
1332.0,66.23
1334.0,66.24
1336.0,66.21
1338.0,66.18
1340.0,66.1
1342.0,66.08
1344.0,66.105
1346.0,66.12
1348.0,66.1
1350.0,66.09
1352.0,66.1
1354.0,66.09
1356.0,66.05
1358.0,66.02
1360.0,66.0
1362.0,65.99
1364.0,66.0
1366.0,66.02
1368.0,66.02
1370.0,66.035
1372.0,66.035
1374.0,66.035
1376.0,66.07
1378.0,66.07
1380.0,66.08
1382.0,66.07
1384.0,66.05
1386.0,66.0
1388.0,66.0
1390.0,65.96
1392.0,65.95
1394.0,65.95
1396.0,65.91
1398.0,65.89
1400.0,65.91
1402.0,65.89
1404.0,65.88
1406.0,65.855
1408.0,65.81
1410.0,65.8
1412.0,65.83
1414.0,65.855
1416.0,65.87
1418.0,65.89
1420.0,65.89
1422.0,65.88
1424.0,65.855
1426.0,65.85
1428.0,65.87
1430.0,65.9
1432.0,65.92
1434.0,65.89
1436.0,65.88
1438.0,65.89
1440.0,65.94
1442.0,65.99
1444.0,66.02
1446.0,66.035
1448.0,66.06
1450.0,66.06
1452.0,66.09
1454.0,66.12
1456.0,66.105
1458.0,66.105
1460.0,66.105
1462.0,66.15
1464.0,66.215
1466.0,66.21
1468.0,66.21
1470.0,66.19
1472.0,66.2
1474.0,66.21
1476.0,66.24
1478.0,66.25
1480.0,66.27
1482.0,66.285
1484.0,66.32
1486.0,66.32
1488.0,66.32
1490.0,66.34
1492.0,66.34
1494.0,66.43
1496.0,66.51
1498.0,66.54
1500.0,66.59
1502.0,66.575
1504.0,66.59
1506.0,66.67
1508.0,66.66
1510.0,66.67
1512.0,66.69
1514.0,66.69
1516.0,66.71
1518.0,66.74
1520.0,66.76
1522.0,66.8
1524.0,66.81
1526.0,66.81
1528.0,66.84
1530.0,66.86
1532.0,66.89
1534.0,66.9
1536.0,66.89
1538.0,66.9
1540.0,66.92
1542.0,66.95
1544.0,66.97
1546.0,66.99
1548.0,67.0
1550.0,67.04
1552.0,67.075
1554.0,67.09
1556.0,67.07
1558.0,67.005
1560.0,67.005
1562.0,66.99
1564.0,67.005
1566.0,67.03
1568.0,67.06
1570.0,67.11
1572.0,67.21
1574.0,67.255
1576.0,67.28
1578.0,67.3
1580.0,67.3
1582.0,67.36
1584.0,67.45
1586.0,67.53
1588.0,67.58
1590.0,67.58
1592.0,67.58
1594.0,67.55
1596.0,67.59
1598.0,67.63
1600.0,67.63
1602.0,67.63
1604.0,67.61
1606.0,67.615
1608.0,67.68
1610.0,67.72
1612.0,67.75
1614.0,67.79
1616.0,67.795
1618.0,67.79
1620.0,67.76
1622.0,67.74
1624.0,67.75
1626.0,67.77
1628.0,67.795
1630.0,67.79
1632.0,67.78
1634.0,67.795
1636.0,67.78
1638.0,67.79
1640.0,67.79
1642.0,67.75
1644.0,67.73
1646.0,67.73
1648.0,67.74
1650.0,67.76
1652.0,67.74
1654.0,67.73
1656.0,67.74
1658.0,67.78
1660.0,67.83
1662.0,67.83
1664.0,67.795
1666.0,67.84
1668.0,67.795
1670.0,67.81
1672.0,67.79
1674.0,67.75
1676.0,67.75
1678.0,67.76
1680.0,67.79
1682.0,67.82
1684.0,67.81
1686.0,67.795
1688.0,67.76
1690.0,67.76
1692.0,67.78
1694.0,67.795
1696.0,67.81
1698.0,67.79
1700.0,67.77
1702.0,67.795
1704.0,67.79
1706.0,67.76
1708.0,67.72
1710.0,67.66
1712.0,67.61
1714.0,67.59
1716.0,67.56
1718.0,67.51
1720.0,67.48
1722.0,67.48
1724.0,67.51
1726.0,67.55
1728.0,67.51
1730.0,67.49
1732.0,67.46
1734.0,67.46
1736.0,67.47
1738.0,67.47
1740.0,67.5
1742.0,67.48
1744.0,67.49
1746.0,67.47
1748.0,67.47
1750.0,67.46
1752.0,67.45
1754.0,67.435
1756.0,67.43
1758.0,67.46
1760.0,67.5
