wavelength,reflectivity
1300.0,48.83
1302.0,48.88
1304.0,48.99
1306.0,49.05
1308.0,49.08
1310.0,48.89
1312.0,48.69
1314.0,48.47
1316.0,48.26
1318.0,48.17
1320.0,48.1
1322.0,47.88
1324.0,47.79
1326.0,47.71
1328.0,47.64
1330.0,47.64
1332.0,47.64
1334.0,47.71
1336.0,47.75
1338.0,47.7
1340.0,47.72
1342.0,47.73
1344.0,47.77
1346.0,47.83
1348.0,47.92
1350.0,48.0
1352.0,48.17
1354.0,48.41
1356.0,48.63
1358.0,48.86
1360.0,49.09
1362.0,49.3
1364.0,49.49
1366.0,49.64
1368.0,49.75
1370.0,49.88
1372.0,50.015
1374.0,50.16
1376.0,50.265
1378.0,50.37
1380.0,50.445
1382.0,50.5
1384.0,50.56
1386.0,50.61
1388.0,50.66
1390.0,50.69
1392.0,50.73
1394.0,50.77
1396.0,50.8
1398.0,50.83
1400.0,50.84
1402.0,50.83
1404.0,50.84
1406.0,50.85
1408.0,50.83
1410.0,50.82
1412.0,50.805
1414.0,50.805
1416.0,50.85
1418.0,50.88
1420.0,50.89
1422.0,50.88
1424.0,50.85
1426.0,50.805
1428.0,50.76
1430.0,50.68
1432.0,50.62
1434.0,50.59
1436.0,50.55
1438.0,50.52
1440.0,50.44
1442.0,50.33
1444.0,50.265
1446.0,50.18
1448.0,50.1
1450.0,50.0
1452.0,49.86
1454.0,49.74
1456.0,49.63
1458.0,49.5
1460.0,49.35
1462.0,49.15
1464.0,48.91
1466.0,48.66
1468.0,48.38
1470.0,48.12
1472.0,47.82
1474.0,47.5
1476.0,47.15
1478.0,46.81
1480.0,46.44
1482.0,46.09
1484.0,45.75
1486.0,45.46
1488.0,45.19
1490.0,44.91
1492.0,44.5
1494.0,43.97
1496.0,43.31
1498.0,42.5
1500.0,41.58
1502.0,40.53
1504.0,39.5
1506.0,38.62
1508.0,38.19
1510.0,38.33
1512.0,39.16
1514.0,40.54
1516.0,42.19
1518.0,43.72
1520.0,44.96
1522.0,45.86
1524.0,46.5
1526.0,46.95
1528.0,47.29
1530.0,47.55
1532.0,47.76
1534.0,47.93
1536.0,48.09
1538.0,48.23
1540.0,48.41
1542.0,48.65
1544.0,48.92
1546.0,49.26
1548.0,49.68
1550.0,50.08
1552.0,50.49
1554.0,50.87
1556.0,51.22
1558.0,51.52
1560.0,51.775
1562.0,51.99
1564.0,52.15
1566.0,52.3
1568.0,52.43
1570.0,52.58
1572.0,52.77
1574.0,52.94
1576.0,53.09
1578.0,53.21
1580.0,53.32
1582.0,53.43
1584.0,53.52
1586.0,53.63
1588.0,53.73
1590.0,53.82
1592.0,53.89
1594.0,53.87
1596.0,53.88
1598.0,53.91
1600.0,53.96
1602.0,53.99
1604.0,54.01
1606.0,54.04
1608.0,54.07
1610.0,54.075
1612.0,54.07
1614.0,54.06
1616.0,54.075
1618.0,54.09
1620.0,54.05
1622.0,54.04
1624.0,53.99
1626.0,53.94
1628.0,53.94
1630.0,53.94
1632.0,53.94
1634.0,53.93
1636.0,53.89
1638.0,53.88
1640.0,53.84
1642.0,53.78
1644.0,53.69
1646.0,53.57
1648.0,53.47
1650.0,53.3
1652.0,53.16
1654.0,53.04
1656.0,52.96
1658.0,52.9
1660.0,52.89
1662.0,52.94
1664.0,53.05
1666.0,53.105
1668.0,53.175
1670.0,53.25
1672.0,53.33
1674.0,53.43
1676.0,53.48
1678.0,53.52
1680.0,53.6
1682.0,53.68
1684.0,53.78
1686.0,53.86
1688.0,53.88
1690.0,53.88
1692.0,53.88
1694.0,53.88
1696.0,53.92
1698.0,53.96
1700.0,53.965
1702.0,53.965
1704.0,53.965
1706.0,53.98
1708.0,54.02
1710.0,54.075
1712.0,54.145
1714.0,54.23
1716.0,54.27
1718.0,54.29
1720.0,54.325
1722.0,54.37
1724.0,54.43
1726.0,54.49
1728.0,54.55
1730.0,54.6
1732.0,54.65
1734.0,54.7
1736.0,54.75
1738.0,54.79
1740.0,54.84
1742.0,54.86
1744.0,54.85
1746.0,54.88
1748.0,54.91
1750.0,54.935
1752.0,55.0
1754.0,55.03
1756.0,55.08
1758.0,55.17
1760.0,55.23
1762.0,55.28
1764.0,55.33
1766.0,55.36
1768.0,55.42
1770.0,55.47
1772.0,55.52
1774.0,55.545
1776.0,55.545
1778.0,55.57
1780.0,55.61
1782.0,55.655
1784.0,55.71
1786.0,55.69
1788.0,55.69
1790.0,55.68
1792.0,55.655
1794.0,55.655
1796.0,55.655
1798.0,55.67
1800.0,55.72
1802.0,55.75
1804.0,55.78
1806.0,55.79
1808.0,55.78
1810.0,55.77
1812.0,55.78
1814.0,55.79
1816.0,55.82
1818.0,55.83
1820.0,55.77
1822.0,55.76
1824.0,55.74
